,clean_message,intent
304,Hotels list in auron,find.accommodation
305,What activities in auron,find.activity
306,What u,leave.negative
307,What is the weather tomorow ,find.alternatives
308,How is the road tomorow morning,find.poi
309,Auron,find.poi
310,Quel temps demain à auron,find.generic
311,Météo auron demain,slopes
312,Liste des hôtels à auron,find.accommodation
313,Pas Auribeau sur saignement mais auron,find.alternatives
314,Chambres disponibles à auron,find.accommodation
315,what's the itinerary to Auron station?,Default Fallback Intent
316,stop,leave.negative
317,what's the itinerary to Auron station?,Default Fallback Intent
318,what's the itinerary to Auron station?,itinerary_to_auron_station
319,my position,itinerary_to_auron_station
320,what's the itinerary to Auron station?,itinerary_to_auron_station
321,Hi,Default Welcome Intent
322,what is the whether in auron,discover.city
323,find me an hotline nice near railway station,Default Fallback Intent
324,hotel,find.address
325,find me an hotel in nice near railway station,find.accommodation
326,what to do  tomorrow in french riviera,find.alternatives
327,what to do,find.generic
328,how to go to cannes,find.address
329,what to do in antibes,find.generic
330,food,find.restaurant
331,next events in nice,find.event
332,in february,find.event
333,quelle est la hauteur de neige à auron ?,state_of_snow
334,comment se rendre à valberg,Default Fallback Intent
335,comment se rendre à Auron,Default Fallback Intent
336,how togo to Auron,find.address
337,how to go to auron,find.address
338,horaires d'ouvertures des pistes àAuron,Default Fallback Intent
339,timetable of skylights in Auron,Default Fallback Intent
340,timetable of skilifts in auron,Default Fallback Intent
341,schedules of lifts in auron,ski_lifts_ski_area
342,should we put chains to go up to auron tonight,special_equipments
343,doit-on mettre des chaines pour monter à auron ce soir,special_equipments
344,what are the prices of ski pass in auron,tariffs_and_package
345,events in Auron,find.event
346,today,find.event
347,find me an hotel in auron,find.accommodation
348,what to do in auron this month,find.alternatives
349,what to do in auron this month,find.alternatives
350,Hi,Default Welcome Intent
0,Hi,Default Welcome Intent
1,je veux aller à auron,find.generic
2,oui,Default Fallback Intent
3,je suis intéressé,abandon
4,hebergement,Default Fallback Intent
5,restauration à auron,find.restaurant
6,hebergement à auron,find.alternatives
7,ce ne sont pas des hotels,find.accommodation
8,je repete auron,find.alternatives
9,et on recommence,find.accommodation
10,i want to go to auron,find.alternatives
11,where is auron,find.address
12,how can i go to auron,find.alternatives
13,can i go by train,find.generic
14,events,find.event
15,to morrow,find.event
16,le systeme est bloqué,Default Fallback Intent
17,activités demain,Default Fallback Intent
18,activities tomorow,find.activity
19,auron,find.activity
20,je veux aller à nice,find.alternatives
21,un hotel sur nice,find.accommodation
22,events in nice tomorow,find.event
23,i want to go in nice by train,find.alternatives
24,i want to go in nice by car,find.alternatives
25,how can i go to nice,find.alternatives
26,mauvaise reponse,Default Fallback Intent
27,bad answer,leave.negative
28,je veux aller à nice en train,find.alternatives
29,je te demande l'heure tu me repond mercredi,find.restaurant
30,tu es loin de fonctionner correctement,find.restaurant
31,auron,find.restaurant
32,ça va va j'arrete pour le moment,find.alternatives
33,Hi,Default Welcome Intent
34,bonjour,Default Welcome Intent
35,les pistes d'auron sont ouvertes ?,Default Fallback Intent
36,quelles pistes ouvertes sur auron,discover.city
37,tu connais auron,insult
38,ok mais je souhaite un pro,Default Fallback Intent
39,meteo auron,slopes
40,miracle !,Default Fallback Intent
41,donc quelles sont les pistes ouvertes a auron,find.generic
42,les pistes de ski,find.activity
43,donc je souhaite un hotel a auron,find.accommodation
44,tu connais auron c 'est juste un projet que l'on a depuis 6 mois !,find.alternatives
45,le top ,Default Fallback Intent
46,donc je souhaite savoir les piostes ouvertes a auron,find.alternatives
47,antibes,find.alternatives
48,pistes de ski sur auron ?,find.activity
49,le toip,Default Fallback Intent
50,tu comprends rien,abandon
51,je souhaite savoir si les pistes de ski d'auron sont ouvertes,find.activity
52,ok et sur antibes,find.alternatives
53,ok je loue un velo pour aller a auron,find.alternatives
54,piste de ski,find.activity
55,auron,find.activity
56,meteo auron aujourd'hui,slopes
57,etat des routes pour acceder à auron,access_to_auron_station
58,neige t il en ce moment ?,state_of_snow
59,faut il mettre les chaines ?,special_equipments
60,a partir d'ou ?,Default Fallback Intent
61,ou faut il merre les chaines,special_equipments
62,equipements spéciaux ou ?,special_equipments
63,meteo demain,Default Fallback Intent
64,weather forcast tomorow,weather
65,quel temps demain à auron,find.generic
66,je veux connaitre la météo demain à auron,Default Fallback Intent
67,les routes sont elles glissantes pour monter à auron ?,access_to_auron_station
68,ou,find.restaurant
69,c;est pas ma question etat des routes pour aller à auron,access_to_auron_station
70,quelles pistes sont ouvertes,Default Fallback Intent
71,auron meteo aujourd'hui,find.alternatives
72,neige t;il a auron maintenant,state_of_snow
73,quel temps à auron aujourd'hui,find.alternatives
74,combien de pistes ouvertes aujourd'hui,find.alternatives
75,how many slopes open to day,slopes
76,how to go to auron,find.address
77,quel temps à auron?,find.generic
78,restauration,find.restaurant
79,hebergement,Default Fallback Intent
80,hotels,find.accommodation
81,appartements,find.accommodation
82,location meublée,Default Fallback Intent
83,meteo auron,find.alternatives
84,quel temps à auron ?,find.alternatives
85,comment aller à auron,find.alternatives
86,de mieux en mieux,abandon
87,du ski,Default Fallback Intent
88,quelle route pour aller à auron,access_to_auron_station
89,combien de temps pour aller en voiture à auron,find.alternatives
90,etat de la route pour aller à auron,access_to_auron_station
91,acces dégagé sur toute la route,access_to_auron_station
92,how long by car for going to auron,find.alternatives
93,snow to day inauron ?,state_of_snow
94,the weather tomorow,find.alternatives
95,events in auron today,find.event
96,tomorow,find.alternatives
97,the next week,find.alternatives
98,the prices for the skipass,Default Fallback Intent
99,Hi,Default Welcome Intent
100,Hi,Default Welcome Intent
101,Hi,Default Welcome Intent
102,Hi,Default Welcome Intent
103,Hi,Default Welcome Intent
104, Chat us thé Road to Auron,access_to_auron_station
105,Height snow Auron,state_of_snow
106,Température Auron ,slopes
107,Hi,Default Welcome Intent
108,Hello,Default Welcome Intent
109,Les routes sont elles dégagées sur auron ?,access_to_auron_station
110,Et le temps?,Default Fallback Intent
111,Météo sur auron ?,discover.city
112,??,Default Fallback Intent
113,Mrtro,Default Fallback Intent
114,Meteo,Default Fallback Intent
115,Hi,Default Welcome Intent
116,auron,find.address
117,what is the road for going to auron ?,access_to_auron_station
118,how is the road for going to auron,access_to_auron_station
119,where we need the spécials equipements,Default Fallback Intent
120,what is the weather forcast foe tomorow,weather
121,meteo auron demain,slopes
122,combien de temps pour aller à auron,Default Fallback Intent
123,un hotel à auron,find.accommodation
124,un resto à auron,find.restaurant
125,un appartement en location à auron,find.accommodation
126,ski pass price in auron,tariffs_and_package
127,how many slopes are open to day,slopes
128,appartements disponibles en location,find.accommodation
129,in auron,find.alternatives
130,how is the road for going to auron,access_to_auron_station
131,where,find.address
132,quels evenements à auron aujourd'hui,find.alternatives
133,avenements à auron,find.alternatives
134,c'est quoi ça ?,abandon
135,en m'indiquant les evenements demain à auron,find.alternatives
136,ca deconne completermentj'arrete,abandon
137,evenements demain auron,find.alternatives
138,de mieux en mieux,abandon
139,dormir à auron,find.accommodation
140,manger à auron,find.restaurant
141,evenements à auron,find.alternatives
142,cinema à auron,find.event
143,demain,find.event
144,la semaine prochaine,find.alternatives
145,le mois prochain,find.alternatives
146,piscine à auron,find.activity
147,mairie d'auron,find.alternatives
148,etat de la route pour aller à auron,access_to_auron_station
149,meteo auron,find.alternatives
150,what is the weather to morrow,Default Fallback Intent
151,meteo demain auron,find.alternatives
152,temperatures demain auron,find.alternatives
153,how long for going to auron by car from my place,find.poi
154,ca va,Default Fallback Intent
155,ca va j'arrète,leave.positive
156,meteo in auron today,find.generic
157,activities in auron today,find.activity
158,snow in auron today,find.alternatives
159,weather forcast in auron today,find.alternatives
160,etat de la route pour auron aujourd'hui,access_to_auron_station
161,quelles pistes sont ouvertes,Default Fallback Intent
162,how many slopes are open to day,slopes
163,hauteur de neige,state_of_snow
164,etat des pistes,Default Fallback Intent
165,etat des pistes à auron,find.alternatives
166,hotel ,find.accommodation
167,hotel à auron,find.accommodation
168,location appartements in auron,find.accommodation
169,meteo à auron,find.alternatives
170,que faire aujourd'hui à auron ?,find.alternatives
171,ou manger à auron,find.restaurant
172,ou dormir à auron,find.accommodation
173,parking à auron,find.alternatives
174,toujours aussi performant,Default Fallback Intent
175,ca c'est surc'est bien le problème,abandon
176,je me le demande,abandon
177,Hi,Default Welcome Intent
178,I would like to see musical events in Cannes next week,find.event
179,Tonight,
180,Hi,Default Welcome Intent
181,bonjour,Default Welcome Intent
182,je souhaite aller a auron,Default Fallback Intent
183,je veux faire du ski,Default Fallback Intent
184,quelles sont les pistes ouvertes,Default Fallback Intent
185,auron,find.address
186,the road is open,access_to_auron_station
187,et la météo,Default Fallback Intent
188,meteo ,Default Fallback Intent
189,wheather,Default Fallback Intent
190,sun,Default Fallback Intent
191,weather,weather
192,auron,find.address
193,weather,weather
194,??,Default Fallback Intent
195,planté ?,Default Fallback Intent
196,Hi,Default Welcome Intent
197,what to do in Auron ?,find.generic
198,events,find.event
199,events,find.event
200,today,find.event
201,Hi,Default Welcome Intent
202,What can I do in Auron next week?,find.generic
203,events,find.event
204,next week,find.event
205,what about next month?,find.alternatives
206,Hi,Default Welcome Intent
207,bonjourje veux aller à auron,Default Fallback Intent
208,hello j want to go to auron,find.address
209,yes how can i go to auron,find.address
210,what is the weather ,weather
211,one hotel in auron today,find.accommodation
212,a room in auron today,find.accommodation
213,what kind of event to day,find.event
214,what kind of event to day in auron,find.event
215,today,find.event
216,this week,find.alternatives
217,this month,find.alternatives
218,what kind of activities today,find.activity
219,je veux aller à auron,find.alternatives
220,what do you have avalable to morrow in auron,find.alternatives
221,je cherche un hotel,find.accommodation
222,auron,find.accommodation
223,quel temps fait il à auron demain,find.alternatives
224,what do you know on auron,discover.city
225,it's very bad,leave.negative
226,let's go again,find.generic
227,what do yoi have on the events,find.event
228,to day,find.event
229,pas de reponse,abandon
230,je veux skier  à auron demain,find.alternatives
231,quelles pistes sont ouvertes,Default Fallback Intent
232,quelles pistes de ski sont ouvertes demain,find.activity
233,in auron,find.alternatives
234,j'arrète impossible d'avoir une information pertinante,find.activity
235,Hi,Default Welcome Intent
236,what to do,find.generic
237,fin d me an hôtel near railway station,find.alternatives
238,how to go to cannes,find.address
239,quelle est la hauteur de neige à auron,state_of_snow
240,what to do in auron this month,find.generic
241,events,find.event
242,this month,find.event
243,Hi,Default Welcome Intent
244,donne moi des événements à Auron pour le mois prochain,find.event
245,Hi,Default Welcome Intent
246,i want some informations on auron,discover.city
247,you know where is auron,find.address
248,wha,Default Fallback Intent
249,what kind of activities you have in auron,find.activity
250,hotels in auron,find.accommodation
251,find events in Nice,find.event
252,minotour ne repond plus J-C,Default Fallback Intent
253,que comprends tu ?,abandon
254,Hi,Default Welcome Intent
255,Hi,Default Welcome Intent
256,hello,Default Welcome Intent
257,hi,Default Welcome Intent
258,road in auron,find.poi
259,etat des routes a auron,access_to_auron_station
260,meteo auron,find.alternatives
261,weather forecast,Default Fallback Intent
262,hotel trois etoiles auron,find.accommodation
263,Hi,Default Welcome Intent
264,Hi,Default Welcome Intent
265,Bonjour,Default Welcome Intent
266,quel événement il y a à Auron ?,find.event
267,quel événement il y a à Auron ?,find.event
268,Hi,Default Welcome Intent
269,Hi,Default Welcome Intent
270,auron,find.address
271,events in auron,find.event
272,events in auron,find.event
273,you mixte events and activities,find.event
274,you mixte events and activities,find.event
275,activities this week end,find.activity
276,activities this week end in auron,find.activity
277,concerning the activities your answer is good,find.activity
278,for skiing,find.activity
279,i want to go for skiing,find.activity
280,to a restaurant,find.restaurant
281,auron,find.restaurant
282,ok now i want an hotel,find.accommodation
283,auron,find.accommodation
284,you have no hotels in auron,find.accommodation
285,what is the weather to day in auron,find.alternatives
286,meteo a auron aujour'hui,find.alternatives
287,quels pistes de ski sont ouvertes aujourd'hui,find.activity
288,auron,find.activity
289,and to morrow,Default Fallback Intent
290,how long time between auron and nice airport,find.alternatives
291,horaires bus de auron à nice,find.alternatives
292,bus pour nice airport,find.alternatives
293,la ça devient n'importe quoi,abandon
294,je veux aller de auron a nice aeroport en bus,find.alternatives
295,rien sur les transports,abandon
296,transports entre auron et nice,find.alternatives
297,Hi,Default Welcome Intent
298,what is the heigh snow in auron,state_of_snow
299,what to do in auron today,find.generic
300,restaurants,find.restaurant
301,restaurants,find.restaurant
302,where to sleep in auron,find.accommodation
303,Hi,Default Welcome Intent
304,Hi,Default Welcome Intent
305,Hi,Default Welcome Intent
306,what to do in auron tody,find.generic
307,activities,find.activity
308,where to live in auron,find.alternatives
309,where ti stay in auron,find.alternatives
310,hotels in auron,find.accommodation
311,where to sleep in auron,find.accommodation
312,snow in auron,find.alternatives
313,how to go tobauron,find.generic
314,how to go to auron,find.address
315,Hi,Default Welcome Intent
316,hello,Default Welcome Intent
317,Hi,Default Welcome Intent
318,que faire à auron ?,find.generic
319,lieux,Default Fallback Intent
320,que faire à auron ?,find.generic
321,activités,find.activity
322,que faire à auron ?,find.alternatives
323,que faire à auron ?,find.alternatives
324,coucou,Default Welcome Intent
325,que faire à auron ?,find.alternatives
326,restaurants à auron,find.restaurant
327,que faire à Auron,find.alternatives
328,évèneents,Default Fallback Intent
329,évènements,find.event
330,auron,find.event
331,auron,find.event
332,auron,find.alternatives
333,hebergement,find.event
334,hebergement,find.event
335,hébergement auron,find.accommodation
336,hotels auron,find.accommodation
337,conditions de ski à auron,find.alternatives
338,ski in auron,find.activity
339,quelles sont les conditions de ski,Default Fallback Intent
340,what are the ski conditions,find.activity
341,auron,find.activity
342,Comment aller à Auron ?,find.alternatives
343,Hi,Default Welcome Intent
344,Hi,Default Welcome Intent
345,Hi,Default Welcome Intent
346,i want to go to auron,find.address
347,what is the best road for going to auron,access_to_auron_station
348,how long  time from nice airport to auron,Default Fallback Intent
349,by car how long for going to auron,Default Fallback Intent
350,events in auron to day,find.event
351,events in auron to day,find.event
352,events the next week,find.event
353,activities to day,find.activity
354,in auron,find.alternatives
355,hotels in auron,find.accommodation
356,bedroom in auron,find.alternatives
357,appartements in auron,find.accommodation
358,restaurants,find.restaurant
359,in auron,find.alternatives
360,ski slopes in auron,slopes
361,a part les events et les restaurant pas de progres,find.restaurant
362,Hi,Default Welcome Intent
363,que faire à auron ?,find.generic
364,lieux,Default Fallback Intent
365,shopping,Default Fallback Intent
366,évènements,find.event
367,évènements,find.event
368,hébergement auron,find.accommodation
369,hotels auron,find.accommodation
370,ski in auron,find.activity
371,quelles sont les conditions de ski,Default Fallback Intent
372,comment aller à auron,Default Fallback Intent
373,Hi,Default Welcome Intent
374,que faire aujourd'hui à auron,find.activity
375,hébergement auron,find.accommodation
376,Hi,Default Welcome Intent
377,Hi,Default Welcome Intent
378,Hi,Default Welcome Intent
379,What can i do today,find.generic
380,Events ,find.event
381,Hi,Default Welcome Intent
382,Hi,Default Welcome Intent
383,Which shopping ?,find.shopping
384,Nice,find.shopping
385,Events,find.event
386,Nice,find.event
387,Nice,find.event
0,Hi,Default Welcome Intent
1,restaurant,find.restaurant
2,valbonne,find.restaurant
3,antibes,find.alternatives
4,ok thanks,leave.positive
5,?,Default Fallback Intent
6,today,Default Fallback Intent
7,the weather ,weather
8,Hi,Default Welcome Intent
9,Hi,Default Welcome Intent
10,hi minotour,Default Welcome Intent
11,today,Default Fallback Intent
12,weather,weather
13,antibes,find.address
14,is it sunny?,weather
15,?,Default Fallback Intent
16,antibes,find.address
17,Hi,Default Welcome Intent
18,Hi,Default Welcome Intent
19,salut,Default Fallback Intent
20,what do you propose as nightlife activities,find.activity
21,Nice,find.activity
22,I'd like to see sightseeings,find.poi
23,Nice,find.poi
24,give me address of the corniche Fleurie,Default Fallback Intent
25,where is the corniche fleurie ? ,find.address
26,où est la corniche fleurie ?,find.address
27,Hi,Default Welcome Intent
28,find events in Nice for tomorrow,find.event
29,je voudrais manger dans un restaurant,find.restaurant
30,Hi,Default Welcome Intent
31,trouve des restaurants à Nice,find.restaurant
32,trouve des restaurants à Cannes,find.restaurant
33,trouve des restaurants italiens à Nice,find.restaurant
34,trouves des événements à Cannes,find.event
35,trouves des événements à Cannes,find.event
36,Hi,Default Welcome Intent
37,what can you do,find.generic
38,Hi,Default Welcome Intent
39,salut,Default Fallback Intent
40,i need help,help
41,I'd like to eat something in Nice,find.restaurant
42,in cannes,find.alternatives
43,and at St tropez ? ,find.alternatives
44,how can you help ? ,find.generic
45,Nice ,find.generic
46,food,find.restaurant
47,in cannes ? ,find.alternatives
48,show me events in nice please,find.event
49,today,find.alternatives
50,and in cannes ? ,find.alternatives
51,next saturday,Default Fallback Intent
52,show me events in St tropez next saturday,find.event
53,show me events next week in Cannes,find.event
54,more,find.more
55,show me events,find.event
56,shops in Eze,find.shopping
57,in cannes,find.alternatives
58,activities in beaulieu,find.activity
59,Beaulieu sur mer,find.activity
60,in Luceram,find.alternatives
61,in Boréon,Default Fallback Intent
62,in cannes,find.alternatives
63,in saint martin du var,find.alternatives
64,in Nice,find.alternatives
65,what can i do in Nice? ,find.generic
66,events,find.event
67,Hi,Default Welcome Intent
68,show me events in Nice this month,find.event
69,Hi,Default Welcome Intent
70,show events in Nice for tomorrow,find.event
71,quelle est la hauteur de neige à Auron ? ,state_of_snow
72,reboot,Default Fallback Intent
73,stop,abandon
74,quel est l'état de la route pour aller à Auron ? ,access_to_auron_station
75,la station d'Auron est ouverte ?,station_opening_closing_date
76,combien de remontées mécaniques sont ouvertes ? ,ski_lifts_ski_area
77,Hi,Default Welcome Intent
78,Hi,Default Welcome Intent
79,Find events in Nice,find.event
80,Hi,Default Welcome Intent
81,Salut,Default Fallback Intent
82,Bonjour,Default Welcome Intent
83,tarifs de la station d'Auron,Default Fallback Intent
84,forfait,Default Fallback Intent
85,tarif de la station d'Auron,Default Fallback Intent
86,est-ce que la station d'Auron est accessible sans chaînes ? ,special_equipments
87,il y a des événements sur Auron ? ,find.event
88,qu'est-ce qu'il y a à faire sur Auron ? ,find.alternatives
89,quelles sont les activités à Auron ? ,find.activity
90,quelles sont les activités à Nice ? ,find.activity
91,stop,abandon
92,que peux tu me dire sur Nice ? ,help
93,donne moi des infos sur Nice,find.generic
94,je veux découvrir Nice,find.restaurant
95,qu'est-ce qu'il y a d'intéressant ? ,find.generic
96,Nice,find.generic
97,activités,find.activity
98,que peux-tu me montrer ? ,find.generic
99,Nice,find.generic
100,lieux,Default Fallback Intent
101,lieu,Default Fallback Intent
102,quelle information peux-tu me montrer ? ,find.generic
103,cannes,find.generic
104,quelle est la hauteur de neige à Auron ? ,state_of_snow
105,quelle route je dois prendre pour aller à Auron ? ,itinerary_to_auron_station
106,comment on fait pour aller à Auron ? ,itinerary_to_auron_station
107,donne moi le trajet de nice vers la station d'auron,find.generic
108,est-ce que la route vers auron est dégagée ? ,access_to_auron_station
109,est-ce que tout est ouvert ? ,station_opening_closing_date
110,montre moi ce qu'il se passe autour de moi,Default Fallback Intent
111,montre moi ce qu'il se passe autour de moi maintenant,Default Fallback Intent
112,trouve moi quelque chose à faire à Nice maintenant,find.activity
113,montre moi des boutiques à Cannes,find.alternatives
114,more,Default Fallback Intent
115,plus,find.more
116,montre moi des activités à Cannes,find.activity
117,show me activities in Cannes,find.activity
118,show me activities in Nice,find.activity
119,events in Cannes,find.event
120,j'ai besoin de manger quelque chose,find.restaurant
121,Nice,find.restaurant
122,j'ai faim,find.restaurant
123,Cannes,find.alternatives
124,Hi,Default Welcome Intent
125,Hi,Default Welcome Intent
126,montre moi des boutiques à Cannes,find.generic
127,Hi,Default Welcome Intent
128,Bonjour,Default Welcome Intent
129,I'm looking for a restaurant in Nice,find.restaurant
130,Paris,Default Fallback Intent
131,I'm looking for a restaurant in Paris,find.restaurant
132,Paris,find.restaurant
133,Antibes,find.restaurant
134,Thank you,leave.positive
135,I want to ask another question,Default Fallback Intent
136,Can you find  an accomodation in Antibes for this night ?,find.alternatives
137,Good,Default Fallback Intent
138,Ok,Default Fallback Intent
139,nothing,leave.negative
140,Hi,Default Welcome Intent
141,Hi,Default Welcome Intent
142,I'm looking for an accomodation in Antibes ?,find.poi
143,Hi,Default Welcome Intent
144,Hi,Default Welcome Intent
145,Hi,Default Welcome Intent
146,show events in Nice for tomorrow,find.event
147,find events in Nice for tomorrow,find.event
148,Hi,Default Welcome Intent
149,find events in Nice ,find.event
150,events in Nice this month,find.event
151,show me events in Nice,find.event
152,show me shops in Cannes,find.shopping
153,Hi,Default Welcome Intent
154,Hi,Default Welcome Intent
155,Hi,Default Welcome Intent
156,Find events in nice ,find.event
157,Hi,Default Welcome Intent
158,Hi,Default Welcome Intent
159,Hi,Default Welcome Intent
160,show me events in Nice,find.event
161,show me activities at Nice,find.activity
162,quelles sont les activités interessantes à Cannes ? ,find.activity
163,montre moi ce qu'il se passe autour de moi ,find.alternatives
164,montre moi ce qu'il se passe autour de moi cetet semaine,find.alternatives
165,donne moi des infos sur Nice,find.alternatives
166,que peux tu me dire sur Nice ?,discover.city
167,je veux découvrir Nice,discover.city
168,montre moi ce qu'il se passe autour de moi,find.event
169,Nice,find.event
170,montre moi des activités,find.activity
171,Nice,find.activity
172,montre moi ce qu'il se passe autour de moi,find.alternatives
173, que peux tu me dire sur Nice ?,find.alternatives
174,Hi,Default Welcome Intent
175,Hi,Default Welcome Intent
176,I'm boring i would like to see what's happening around me,find.event
177,Hi,Default Welcome Intent
178,Hi,Default Welcome Intent
179,Hi,Default Welcome Intent
180,Hi,Default Welcome Intent
181,find events in Nice,find.event
182,how can you help ? ,help
183,comment tu peux m'aider ?,help
184,je suis perdu,help
185,je peux te poser une question ?,help
186,je comprends pas,help
187,donne moi des conseils,help
188,what can you advice me on?,help
189,what can you do?,help
190,I'm confused,help
191,help,help
192,montre moi des événements ,find.event
193,Cannes,find.event
194,ok show me activities in Nice please,find.activity
195,bonjour Minotour,Default Welcome Intent
196,Bonjour,Default Welcome Intent
197,peux-tu me donner des hotels sur cannes ?,find.accommodation
198,Salut,leave.positive
199,Bonjour,Default Welcome Intent
200,Ok could you give me events at Beaulieu sur mer please,find.event
201,quelle route je dois prendre pour aller à Auron ?,itinerary_to_auron_station
202,montre moi ce qu'il se passe autour de moi,find.event
203,Cannes,find.event
204,que peux tu me dire sur Nice ? ,discover.city
205,je veux découvrir Cannes,discover.city
206,donne moi des infos sur la ville de Nice,find.accommodation
207,donne moi des infos sur Nice,discover.city
208,Hi,Default Welcome Intent
209,show me events,find.event
210,Nice,find.event
211,Hi,Default Welcome Intent
212,trouve des événements autour  de moi,find.event
213,Hi,Default Welcome Intent
214,Hi,Default Welcome Intent
215,Hi,Default Welcome Intent
216,Hi,Default Welcome Intent
217,Hi,Default Welcome Intent
218,Hi,Default Welcome Intent
219,What évents WE havé in auron today ,find.generic
220,Events,find.event
221,I want an hôtel for thé week-end ,Default Fallback Intent
222,Hôtel pour le week-end ,find.accommodation
223,Auron,find.accommodation
224,Quel temps fait il a auron ce week-end ,find.alternatives
225,What is the weather forcast for thé next week in auron,access_to_auron_station
226,Un restaurant ,find.restaurant
227,Auron,find.restaurant
228,Route pour aller à auron,itinerary_to_auron_station
229,Hi,Default Welcome Intent
0,Hi,Default Welcome Intent
1,donne moi des infos sur la ville de Nice,find.accommodation
2,donne moi des infos sur Nice,discover.city
3,Hi,Default Welcome Intent
4,donne moi des infos sur la ville de Nice,find.accommodation
5,Hi,Default Welcome Intent
6,donne moi des infos sur la ville de Nice,discover.city
7,Hi,Default Welcome Intent
8,Hi,Default Welcome Intent
9,show me events in canes this month,find.event
10,Cannes,find.event
11,great thank you ! could you show me activities near me ? ,find.activity
12,Bonjour,Default Welcome Intent
13,parle moi en français,Default Fallback Intent
14,Hi,Default Welcome Intent
15,Could you show me events at Cannes this weekend ? ,find.event
16,Hi,Default Welcome Intent
17,Hi could you show me music concerts happening in Cannes this weekend ? ,find.event
18,Hi,Default Welcome Intent
19,Hi could you show me music concerts happening in Cannes?,find.event
20,Hi,Default Welcome Intent
21,Hi ! Could you show me some events happening at Cannes this saturday?,find.event
22,thank you ! and is there any activities to do with my familly near me? ,access_to_auron_station
23,is there any activities to do near me?,find.activity
24,Hi,Default Welcome Intent
25,Hi ! Could you show me musical events at cannes this saturday?,find.event
26,could you show me musical events at cannes this weekend?,find.event
27,next week?,Default Fallback Intent
28,could you show me musical events next week in Cannes ?,find.event
29,Great ! now is there any cool activities to do with my familly near me?,find.activity
30,Hi,Default Welcome Intent
31,could you show me musical events next week in Cannes ?,find.event
32,Great ! now is there any cool activities to do with my familly near me?,find.activity
33,Hi,Default Welcome Intent
34,Hi,Default Welcome Intent
35,Hi,Default Welcome Intent
36,Hi,Default Welcome Intent
37,show me events in Nice this month,find.event
38,Hi,Default Welcome Intent
39,and in Cannes?,Default Fallback Intent
40,and this week?,Default Fallback Intent
41,show me events in Nice this morning,find.event
42,and in Cannes?,find.alternatives
43,stop,leave.negative
44,Hi,Default Welcome Intent
45,show me events in Nice this month,find.event
46,and in Cannes?,find.alternatives
47,and this week?,find.alternatives
48,and in Nice?,find.alternatives
49,Hi,Default Welcome Intent
50,and in Cannes?,find.alternatives
51,hi,Default Welcome Intent
52,show me events in Nice,find.event
53,this week ?,Default Fallback Intent
54,show me events in Nice this week,find.event
55,and next weekend ? ,find.alternatives
56,and in Cannes ? ,find.alternatives
57,show me events in Juan les pins,find.event
58,and the next weekend?,find.alternatives
59,and in St Tropez ? ,find.alternatives
60,Hi Minotour,Default Welcome Intent
61,show me events near me,find.event
62,and at Cannes this month ? ,find.alternatives
63,next month ,Default Fallback Intent
64,show me events next month at Cannes,find.event
65,more,find.more
66,Hi,Default Welcome Intent
67,What are good events this week-end?,find.event
68,In Nice,find.event
69,show me more,find.more
70,Hi,Default Welcome Intent
71,Hi,Default Welcome Intent
72,Do you know Malaysian restaurant in Nice?,find.restaurant
73,Hi,Default Welcome Intent
74,lavender in Nice,Default Fallback Intent
75,I'm looking lavender place in Nice,find.poi
76,Hi,Default Welcome Intent
77,Hello,Default Welcome Intent
78,I am angry where is the good restaurant for me.,access_to_auron_station
79,Where is it?,find.address
80,Hi,Default Welcome Intent
81,Hello,Default Welcome Intent
82,Can you suggest halal food?,find.restaurant
83,Nice,find.restaurant
84,Hi,Default Welcome Intent
85,Hi,Default Welcome Intent
86,Hi,Default Welcome Intent
0,Hi,Default Welcome Intent
1,hi,Default Welcome Intent
2,look for events in Antibes this month,find.event
3,how about Nice,find.alternatives
4,Hi,Default Welcome Intent
5,Hello,Default Welcome Intent
6,I want to eat socca ,find.generic
7,Is MAMAC museum in Nice open on Sunday?,find.poi
8,give me a museum,find.poi
9,What,find.poi
10,what is the weather in Valberg?,find.poi
11,Valberg,find.poi
12,Auron,find.poi
13,Golfe Juan,find.poi
14,Cannes,find.poi
15,what's the weather in Valberg,weather
16,Isola,find.alternatives
17,give me the weather report,abandon
18,give me the weather report,abandon
19,show me the weather report,find.more
20,reset,abandon
21,reset,abandon
22,give me art galleries in Nice,find.activity
23,discover Antibes,discover.city
24,tell me more about Antibes,discover.city
25,what to do in Antibes tomorrow?,find.alternatives
26,reset,abandon
27,what can I do in Antibes tomorrow?,find.alternatives
28,what to do tomorrow in antibes ?,find.activity
29,Antibes,find.activity
30,how to visit Grasse?,find.alternatives
31,find bike rental in Nice,find.activity
32,find activity in Nice on 7th of september ,find.activity
33,in cannes for 6th of september,find.alternatives
34,in monaco for 5 of september,find.alternatives
35,can you help me plan my vacation ?,abandon
36,what can i visit in Nice in december,find.alternatives
37,in eze,find.alternatives
38,what can my kids do in cannes,find.alternatives
39,events for kids,find.event
40,cannes,find.event
41,this month,find.event
42,in nice,find.alternatives
43,find walking tour in nice,find.activity
44,walking tour in NICE,find.activity
45,find restaurants in nice for this afternoon,find.alternatives
46,cafe in antibes,find.alternatives
47,show me malls in NICE,find.shopping
48,in cannes,find.alternatives
49,show me activities in nice,find.activity
50,sports activity in nice,find.activity
51,sports events in nice,find.event
52,this month,find.event
